ID_ANUNCIO,TP_ANUNCIO,FACE_SENTIDO,DIM_LARG_M,DIM_COMP_M,EMPRESA_ANUNCIANTE,EMPRESA_IMPLANTA,CADASTRO_DER,CADASTRO_DER_NRO,VALOR,OBS
010170003262,4,0,,,CENTERVAL INDUSTRIAL, ,,,,
010170003273,0,1,,,ESTACIONAMENTO ALEMÃO, ,,,,
010170003284,0,1,,,ESTACIONAMENTO ALEMÃO, ,,,,
010170003295,0,1,,,MULTI MEIOS,MULTI MEIOS,,,,
010170003306,0,1,,,MULTI MEIOS,MULTI MEIOS,,,,
010170003317,4,1,,,CSHG LOGISTICA FLS, ,,,,
010170003328,4,0,,,REIMAX,MIDIA PAINÉIS,,,,
010170003339,4,1,,,RETHA, ,,,,
010170003341,1,0,,,HOSTFIBER, ,,,,
010170003352,1,1,,,HOSTFIBER, ,,,,
010170003363,3,0,,,BERNA, ,,,,
010170003374,3,0,,,FRANGO ASSADO, ,,,,
010170003385,3,1,,,LAGO AZUL, ,,,,
010170003396,4,1,,,RESIDENCIAL ARBORETUM, ,,,,
010170003407,0,1,,,FULWOOD, ,,,,
010170003418,0,1,,,FULWOOD, ,,,,
010170003429,1,1,,,RESTAURANTE MACARRONADA, ,,,,
010170003431,4,1,,,RESTAURANTE MACARRONADA, ,,,,
010170003442,3,1,,,LAGO AZUL, ,,,,
010170003453,4,0,,,UNIMED CAMPINAS, ,,,,
010170003464,4,0,,,G20 IMÓVEIS, ,,,,
010170003475,4,0,,,TENDA ATACADO,REAL PAINEIS,,,,
010170003486,4,0,,,MULTI MODAL CAMPINAS, ,,,,
010170003497,4,1,,,MULTI MODAL CAMPINAS, ,,,,
010170003508,1,1,,,AGROSALLES, ,,,,
010170003519,3,0,,,LAGO AZUL, ,,,,
010170003521,4,0,,,NOVILLE, ,,,,
010170003532,0,1,,,, ,,,,
010170003543,0,1,,,, ,,,,
010170003554,4,0,,,BRISAS BELLA CIATTA, ,,,,
010170003565,4,1,,,IMPACTO PRAGAS, ,,,,
010170003576,3,1,,,O MATUTO, ,,,,
010170003587,3,1,,,O MATUTO, ,,,,
010170003598,0,0,,,, ,,,,
010170003609,3,0,,,SHOW FAZENDINHA, ,,,,
010170003611,0,0,,,, ,,,,
010170003622,3,0,,,FARMA SILVA, ,,,,
010170003633,3,0,,,EMBREAGEM, ,,,,
010170003644,3,0,,,EMBREAGEM, ,,,,
010170003655,4,0,,,HODDI OUTLET, ,,,,
010170003666,0,0,,,, ,,,,
010170003677,4,0,,,SHOPPING DA UTILIDADE, ,,,,
010170003688,3,0,,,UNIMED CAMPINAS, ,,,,
010170003699,3,0,,,A QUINTA DO MARQUES, ,,,,
010170003701,4,0,,,ACESSORIOS 3 VIAS, ,,,,
010170003712,1,1,,,ACESSORIOS 3 VIAS, ,,,,
010170003723,1,0,,,A QUINTA DO MARQUES, ,,,,
010170003734,1,0,,,A QUINTA DO MARQUES, ,,,,
010170003745,4,1,,,CAMPMALHAS, ,,,,
010170003756,4,1,,,SCANI BENZ, ,,,,
010170003767,0,0,,,, ,,,,
010170003778,3,0,,,HERZOG, ,,,,
010170003789,1,0,,,TECHNO PARK, ,,,,
010170003791,0,1,,,, ,,,,
010170003802,0,1,,,, ,,,,
010170003813,1,1,,,TECHNO PARK, ,,,,
010170003824,1,1,,,TECHNO PARK, ,,,,
010170003835,1,1,,,GRUPO ESTRUTURAL, ,,,,
